timestamp,resource_type,batch_size,query_cost,remaining,reset_at,status,retries,cache_hit
2026-08-03T04:11:23Z,graphql_repositories,25,1,4608,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:11:29Z,graphql_repositories,25,1,4607,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:11:35Z,graphql_repositories,25,1,4606,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:11:44Z,graphql_repositories,25,1,4605,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:11:49Z,graphql_repositories,25,1,4604,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:11:55Z,graphql_repositories,25,1,4603,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:12:01Z,graphql_repositories,25,1,4602,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:12:23Z,graphql_repositories,25,1,4590,2026-08-03T04:43:24+00:00,success,1,false
2026-08-03T04:12:29Z,graphql_repositories,25,1,4589,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:12:34Z,graphql_repositories,25,1,4588,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:12:39Z,graphql_repositories,25,1,4587,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:12:44Z,graphql_repositories,25,1,4586,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:12:51Z,graphql_repositories,25,1,4585,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:12:58Z,graphql_repositories,25,1,4584,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:13:05Z,graphql_repositories,25,1,4583,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:13:10Z,graphql_repositories,25,1,4582,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:13:16Z,graphql_repositories,25,1,4581,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:13:21Z,graphql_repositories,25,1,4580,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:13:26Z,graphql_repositories,25,1,4579,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:13:31Z,graphql_repositories,25,1,4578,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:13:36Z,graphql_repositories,25,1,4577,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:13:42Z,graphql_repositories,25,1,4576,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:13:49Z,graphql_repositories,25,1,4575,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:13:55Z,graphql_repositories,25,1,4574,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:14:02Z,graphql_repositories,25,1,4573,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:14:07Z,graphql_repositories,25,1,4572,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:14:15Z,graphql_repositories,25,1,4571,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:14:21Z,graphql_repositories,25,1,4570,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:14:25Z,graphql_repositories,25,1,4569,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:14:29Z,graphql_repositories,25,1,4568,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:14:34Z,graphql_repositories,25,1,4567,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:14:39Z,graphql_repositories,25,1,4566,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:14:46Z,graphql_repositories,25,1,4565,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:14:51Z,graphql_repositories,25,1,4564,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:15:00Z,graphql_repositories,25,1,4563,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:15:05Z,graphql_repositories,25,1,4562,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:15:12Z,graphql_repositories,25,1,4561,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:15:17Z,graphql_repositories,25,1,4560,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:15:24Z,graphql_repositories,25,1,4559,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:15:29Z,graphql_repositories,25,1,4558,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:15:36Z,graphql_repositories,25,1,4557,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:15:42Z,graphql_repositories,25,1,4556,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:15:49Z,graphql_repositories,25,1,4555,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:15:53Z,graphql_repositories,25,1,4554,2026-08-03T04:43:24+00:00,success,0,false
2026-08-03T04:15:58Z,graphql_repositories,25,1,4553,2026-08-03T04:43:24+00:00,success,0,false
